	question	answer
0	Solve 0 = 4*b + b + 15 for b.	-3
1	Solve -3*d = -0*d + 3 for d.	-1
2	Solve -4*h + 9 = 41 for h.	-8
3	Solve 2514*m = 2508*m - 24 for m.	-4
4	Solve -7*a + 6*a = 4 for a.	-4
5	Solve 288*w - 298*w = -70 for w.	7
6	Solve -14*h = -4*h - 10 for h.	1
7	Solve 5*w + 3 = -2 for w.	-1
8	Solve -15*f + 21*f - 12 = 0 for f.	2
9	Solve -22 = 6*c - 4 for c.	-3
10	Solve 13*z - 7*z + 30 = 0 for z.	-5
11	Solve -4*v + 224 = -32*v for v.	-8
12	Solve 0 = -4*j - 906 + 894 for j.	-3
13	Solve -70*n - 222 = -107*n for n.	6
14	Solve 0 = 5*f - 24 + 14 for f.	2
15	Solve 56*l + 25 = 61*l for l.	5
16	Solve 2*y - 9*y = 21 for y.	-3
17	Solve -4*d - 14 + 6 = 0 for d.	-2
18	Solve -9 = 4*x - 5 for x.	-1
19	Solve -30 = -14*r + 8*r for r.	5
20	Solve 36*u - 20 = 52 for u.	2
21	Solve -3*v = -58 + 79 for v.	-7
22	Solve 212 = 56*z + 44 for z.	3
23	Solve 0 - 16 = -4*m for m.	4
24	Solve -4*f - 56 = -40 for f.	-4
25	Solve 0 = 79*g - 72*g - 63 for g.	9
26	Solve 60*k + 198 = 27*k for k.	-6
27	Solve 50 = 10*q - 0*q for q.	5
28	Solve 3*q = -3*q - 18 for q.	-3
29	Solve 4*i - 28 = 18*i for i.	-2
30	Solve 57 = -15*y - 4*y for y.	-3
31	Solve 2*v + 5 - 13 = 0 for v.	4
32	Solve -2 + 48 = -23*w for w.	-2
33	Solve u + 8 = 5*u for u.	2
34	Solve -14*l + 3 = 3 for l.	0
35	Solve 0 = 4*m + 11 - 7 for m.	-1
36	Solve 18*v + 30 = -12*v for v.	-1
37	Solve 38 = 49*i - 60 for i.	2
38	Solve 62 = 12*a + 2 for a.	5
39	Solve 20*j + 14*j = -204 for j.	-6
40	Solve -147 = -4*w - 163 for w.	-4
41	Solve 8*m - 9 = -m for m.	1
42	Solve 15*p = 6*p + 36 for p.	4
43	Solve 30*i + 0 = -60 for i.	-2
44	Solve g = -g - 2*g for g.	0
45	Solve -7*l = 69 - 76 for l.	1
46	Solve 26*z = -48*z + 518 for z.	7
47	Solve -3*d - 14*d - 17 = 0 for d.	-1
48	Solve 2*a = -a + 12 for a.	4
49	Solve 0 = -34*s + 26*s for s.	0
50	Solve -5 + 25 = -5*l for l.	-4
